"timestamp","init.scope::memory.current","system.slice::memory.current","user.slice::memory.current"
"2023-02-09T11:27:21+01:00",64.1,2519.9,12176.0
"2023-02-09T11:28:50+01:00",64.1,2525.5,12159.2
"2023-02-09T11:29:29+01:00",64.1,2525.8,12150.4
"2023-02-09T11:30:21+01:00",64.1,2523.4,12130.4
"2023-02-09T11:31:21+01:00",64.1,2528.1,12167.8
"2023-02-09T11:32:29+01:00",64.1,2525.2,12147.2
"2023-02-09T11:33:21+01:00",64.1,2526.7,12159.7
"2023-02-09T11:34:50+01:00",64.1,2530.1,12162.2
"2023-02-09T11:35:29+01:00",64.1,2523.7,12164.2
"2023-02-09T11:36:19+01:00",64.1,2529.2,12229.4
"2023-02-09T11:37:29+01:00",64.1,2529.8,12285.7
"2023-02-09T11:38:14+01:00",64.1,2554.9,12269.1
"2023-02-09T11:39:21+01:00",64.1,2528.8,12323.5
"2023-02-09T11:40:50+01:00",64.1,2521.8,12358.6
"2023-02-09T11:41:21+01:00",64.1,2529.8,12413.9
"2023-02-09T11:42:19+01:00",64.1,2528.4,12423.9
"2023-02-09T11:43:29+01:00",64.2,2526.6,12320.4
"2023-02-09T11:44:29+01:00",64.1,2526.0,12413.9
"2023-02-09T11:45:21+01:00",64.1,2531.5,12432.3
"2023-02-09T11:46:21+01:00",64.1,2526.3,12382.8
"2023-02-09T11:47:29+01:00",64.2,2517.8,12253.1
"2023-02-09T11:48:21+01:00",64.2,2527.5,12364.1
"2023-02-09T11:49:29+01:00",64.1,2528.1,12323.1
"2023-02-09T11:50:29+01:00",64.1,2527.7,12299.6
"2023-02-09T11:51:21+01:00",64.1,2529.3,12361.7
"2023-02-09T11:52:50+01:00",64.1,2530.5,12360.9
"2023-02-09T11:53:29+01:00",64.1,2526.2,12395.8
"2023-02-09T11:54:21+01:00",64.1,2531.8,12301.4
"2023-02-09T11:55:29+01:00",64.1,2532.7,12299.6
"2023-02-09T11:56:21+01:00",64.1,2527.7,12409.7
"2023-02-09T11:57:21+01:00",64.1,2531.2,12423.7
"2023-02-09T11:58:50+01:00",64.1,2534.8,12528.5
"2023-02-09T11:59:29+01:00",64.1,2532.4,12534.2
"2023-02-09T12:00:21+01:00",64.2,2532.3,12437.4
"2023-02-09T12:01:21+01:00",64.2,2536.5,12586.7
"2023-02-09T12:02:29+01:00",64.1,2535.8,12606.1
"2023-02-09T12:03:21+01:00",64.1,2528.3,12451.3
"2023-02-09T12:04:50+01:00",64.2,2531.8,12489.9
"2023-02-09T12:05:29+01:00",64.1,2534.8,12563.8
"2023-02-09T12:06:21+01:00",64.1,2533.5,12503.7
"2023-02-09T12:07:29+01:00",64.1,2535.3,12570.6
"2023-02-09T12:08:29+01:00",64.1,2531.7,12664.5
"2023-02-09T12:09:21+01:00",64.1,2531.5,12658.9
"2023-02-09T12:10:50+01:00",64.1,2531.3,12792.8
"2023-02-09T12:11:21+01:00",64.1,2532.4,12704.6
"2023-02-09T12:12:21+01:00",64.1,2536.1,12688.9
"2023-02-09T12:13:29+01:00",64.1,2535.6,12716.4
"2023-02-09T12:14:17+01:00",64.1,2540.2,12673.8
"2023-02-09T12:15:21+01:00",64.1,2740.4,12692.4
"2023-02-09T12:16:21+01:00",64.1,2742.9,12694.0
"2023-02-09T12:17:50+01:00",64.1,2828.8,12999.9
"2023-02-09T12:18:21+01:00",64.1,2837.2,13007.3
"2023-02-09T12:19:29+01:00",64.1,2829.7,13000.8
"2023-02-09T12:20:29+01:00",64.1,2831.8,13009.0
"2023-02-09T12:21:19+01:00",64.1,2820.5,13013.3
"2023-02-09T12:22:29+01:00",64.1,2830.8,13001.2
"2023-02-09T12:23:29+01:00",64.2,2830.3,13018.4
"2023-02-09T12:24:21+01:00",64.1,2833.0,13025.2
"2023-02-09T12:25:50+01:00",64.1,2828.1,13074.4
"2023-02-09T12:26:21+01:00",64.1,2827.5,13071.5
"2023-02-09T12:27:20+01:00",64.1,2830.8,13078.5
"2023-02-09T12:28:29+01:00",64.2,2836.6,13083.6
"2023-02-09T12:29:29+01:00",64.2,2830.4,13083.2
"2023-02-09T12:30:21+01:00",64.1,2834.6,13084.4
"2023-02-09T12:31:21+01:00",64.1,2832.6,13077.6
"2023-02-09T12:32:29+01:00",64.1,2834.1,13076.3
"2023-02-09T12:33:21+01:00",64.1,2835.2,13079.8
"2023-02-09T12:34:29+01:00",64.1,2833.8,13079.7
"2023-02-09T12:35:29+01:00",64.1,2836.6,13081.1
"2023-02-09T12:36:21+01:00",64.2,2834.6,13083.7
"2023-02-09T12:37:50+01:00",64.1,2833.2,13128.5
"2023-02-09T12:38:29+01:00",64.1,2838.7,13095.7
"2023-02-09T12:39:21+01:00",64.1,2836.1,13095.0
"2023-02-09T12:40:29+01:00",64.1,2839.8,13093.3
"2023-02-09T12:41:21+01:00",64.2,2835.5,13091.5
"2023-02-09T12:42:21+01:00",64.1,2837.6,13084.5
"2023-02-09T12:43:50+01:00",64.2,2834.8,13072.6
"2023-02-09T12:44:29+01:00",64.1,2835.4,13167.8
"2023-02-09T12:45:21+01:00",64.2,2821.9,13170.0
"2023-02-09T12:46:21+01:00",64.1,2835.1,13172.0
"2023-02-09T12:47:29+01:00",64.1,2836.0,13181.5
"2023-02-09T12:48:21+01:00",64.1,2843.8,13193.6
"2023-02-09T12:49:50+01:00",64.1,2837.7,13197.9
"2023-02-09T12:50:29+01:00",64.1,2833.9,13194.6
"2023-02-09T12:51:19+01:00",64.1,2839.3,13199.1
"2023-02-09T12:52:29+01:00",64.1,2835.5,13201.0
"2023-02-09T12:53:29+01:00",64.1,2836.8,13185.1
"2023-02-09T12:54:20+01:00",64.1,2837.9,13185.4
"2023-02-09T12:55:50+01:00",64.1,2838.9,13192.5
"2023-02-09T12:56:21+01:00",64.1,2836.6,13188.7
"2023-02-09T12:57:21+01:00",64.1,2838.2,13200.6
"2023-02-09T12:58:29+01:00",64.1,2836.8,13210.2
"2023-02-09T12:59:29+01:00",64.1,2837.5,13215.7
"2023-02-09T13:00:21+01:00",64.2,2838.2,13214.9
"2023-02-09T13:01:21+01:00",64.2,2838.3,13209.8
"2023-02-09T13:02:29+01:00",64.1,2752.6,13058.4
"2023-02-09T13:03:20+01:00",64.1,2735.3,12997.6
"2023-02-09T13:04:29+01:00",64.1,2824.9,13188.7
"2023-02-09T13:05:29+01:00",64.1,2778.6,13193.7
