"timestamp","system.slice/cron.service::memory.current","system.slice/cups.service::memory.current","system.slice/postfix.service::memory.current"
"2023-02-06T12:25:25+01:00",208330752,8515584,13361152
"2023-02-06T12:26:12+01:00",208330752,8515584,13361152
"2023-02-06T12:27:24+01:00",208330752,8515584,13357056
"2023-02-06T12:28:39+01:00",208330752,8515584,13357056
"2023-02-06T12:29:32+01:00",208330752,8515584,13357056
"2023-02-06T12:30:24+01:00",208343040,8515584,13357056
"2023-02-06T12:31:39+01:00",208343040,8515584,13357056
"2023-02-06T12:32:22+01:00",208343040,8515584,13357056
"2023-02-06T12:33:25+01:00",208343040,8515584,13357056
"2023-02-06T12:34:39+01:00",208343040,8515584,13357056
"2023-02-06T12:35:25+01:00",208343040,8515584,13357056
"2023-02-06T12:36:25+01:00",208343040,8515584,13361152
"2023-02-06T12:37:39+01:00",208343040,8515584,13361152
"2023-02-06T12:38:22+01:00",208343040,8515584,13361152
"2023-02-06T12:39:25+01:00",208343040,8515584,13357056
"2023-02-06T12:40:25+01:00",208343040,8515584,13357056
"2023-02-06T12:41:17+01:00",208343040,8515584,13357056
"2023-02-06T12:42:25+01:00",208343040,8515584,13361152
"2023-02-06T12:43:39+01:00",208343040,8515584,13357056
"2023-02-06T12:44:22+01:00",208343040,8515584,13357056
"2023-02-06T12:45:24+01:00",208338944,8515584,13357056
"2023-02-06T12:46:39+01:00",208338944,8515584,13361152
"2023-02-06T12:47:32+01:00",208338944,8515584,13361152
"2023-02-06T12:48:25+01:00",208338944,8515584,13357056
"2023-02-06T12:49:39+01:00",208338944,8515584,13357056
"2023-02-06T12:50:25+01:00",208338944,8515584,13357056
"2023-02-06T12:51:24+01:00",208338944,8515584,13361152
"2023-02-06T12:52:00+01:00",208338944,8515584,13352960
"2023-02-06T12:53:32+01:00",208338944,8515584,13357056
"2023-02-06T12:54:25+01:00",208338944,8515584,13361152
"2023-02-06T12:55:14+01:00",208338944,8515584,13361152
"2023-02-06T12:56:29+01:00",208338944,8515584,13361152
"2023-02-06T12:57:25+01:00",208338944,8515584,13357056
"2023-02-06T12:58:39+01:00",208338944,8515584,13361152
"2023-02-06T12:59:32+01:00",208338944,8515584,13361152
"2023-02-06T13:00:24+01:00",208343040,8515584,13357056
"2023-02-06T13:01:24+01:00",208343040,8515584,13357056
"2023-02-06T13:02:32+01:00",208343040,8515584,13357056
"2023-02-06T13:03:25+01:00",208343040,8515584,13357056
"2023-02-06T13:04:39+01:00",208343040,8515584,13357056
"2023-02-06T13:05:22+01:00",208343040,8519680,13357056
"2023-02-06T13:06:24+01:00",208343040,8519680,13361152
"2023-02-06T13:07:39+01:00",208343040,8519680,13361152
"2023-02-06T13:08:32+01:00",208343040,8519680,13361152
"2023-02-06T13:09:25+01:00",208343040,8519680,13357056
"2023-02-06T13:10:25+01:00",208343040,8515584,13361152
"2023-02-06T13:11:22+01:00",208343040,8515584,13357056
"2023-02-06T13:12:25+01:00",208343040,8515584,13361152
"2023-02-06T13:13:39+01:00",208343040,8515584,13361152
"2023-02-06T13:14:32+01:00",208343040,8515584,13361152
"2023-02-06T13:15:25+01:00",208351232,8515584,13357056
"2023-02-06T13:16:39+01:00",208351232,8515584,13361152
"2023-02-06T13:17:13+01:00",208351232,8515584,13361152
"2023-02-06T13:18:25+01:00",208351232,8515584,13357056
"2023-02-06T13:19:39+01:00",208351232,8515584,13361152
"2023-02-06T13:20:25+01:00",208351232,8515584,13361152
